text,expected,predicted
"Да. Можете ради интереса засунуть палец себе в рот и пощупать свой собственный язык глубже, чем видно в зеркале. Сильно удивитесь.
",0.0,0.0
"Да-да-да, обязательно надо продраться сквозь все дерьмо совка, дабы иметь право критиковать его. Только вот в чем фигня: совкодрочеры хотят все вернуть, и при этом хуй кладут на мнение тех, кто про этот совок знает. И да, я жрал во многих НИИ, оставшихся со времен совка. Полная фигня.
",1.0,0.0
"А авто можно обклеить такой хохломой?)
",1.0,0.0
"Гитлер сверху передает тебе одобрительный привет за этот высер.Пардон, снизу, из глубокого Адика.
",1.0,1.0
"можно попробовать, но если не будет жёстких ограничений по времени( т.к. возможность вязать есть только по выходным ( )
",0.0,0.0
"Если Ложкину можно котов рисовать, почему котам нельзя Ложкина
",0.0,0.0
"Это где так? Нижний Новгород - 150-200р в хорошем баре в центре города.
",0.0,0.0
"Если бы государство впиливало им ощутимые штрафы,то было бы дело ,а так проще заплатить 1 людей,которые обратятся в суд.
",0.0,0.0
"Подход нужно к людям искать. Я всегда стараюсь подружиться с людьми, в итоге есть те, которые действительно пытаются запомнить что-то, прочитать, научиться, с ними как раз легко схожусь, а есть те, кто пытается на шею сесть и делают всё так, что б ты выполнил всю работу за них, с ними не дружу, и разговор всегда примерно такой: работает компьютер, считает excel - моя работа выполнена, дальше сами .
",0.0,0.0
"И сколько такая красота на заказ стоит?
",0.0,0.0
"может и сжаться на счёт разорваться - в прямом смысле этого слова вроде как не должна, хотя с Большого Взрыва могут существовать некоторые дефекты пространства-времени, например космические струны , но они пока не обнаружены и не факт, что вообще существуют на счёт сжаться обратно - это без проблем, главное чтобы средняя плотность вселенной была меньше 1 (сейчас она по измерениям 1 плюс минус погрешность, так что может и меньше 1, надо точнее мерить) за ее границами тоже есть некое пространство Есть область дальше которой мы ничего не видим (сфера Хаббла), но вообще материя там может быть, а пространство - оно единое для всей материи
",0.0,0.0
